id|species|mother_lower_case|father_lower_case|mother_orig_case|father_orig_case
707|S. alba L.|N/A|N/A|N/A|N/A
708|S. viminalis L.|N/A|N/A|N/A|N/A
709|S. purpurea L.|N/A|N/A|N/A|N/A
710|S. eriocephala Michx.|N/A|N/A|N/A|N/A
711|S.|s. ×fragilis l. (as s. fragilis)|s. babylonica l. (as s. matsudana koiz.)|S. ×fragilis L. (as S. fragilis)|S. babylonica L. (as S. matsudana Koiz.)
712|S.|s. ×fragilis l. (as s. fragilis)|s. babylonica l. (as s. matsudana koiz.)|S. ×fragilis L. (as S. fragilis)|S. babylonica L. (as S. matsudana Koiz.)
713|S. alba L.|N/A|N/A|N/A|N/A
714|S. alba L.|N/A|N/A|N/A|N/A
715|S. alba L.|N/A|N/A|N/A|N/A
716|S. alba L.|N/A|N/A|N/A|N/A
717|S. alba L.|N/A|N/A|N/A|N/A
718|S. alba L.|N/A|N/A|N/A|N/A
719|S. alba L.|N/A|N/A|N/A|N/A
720|S. ×fragilis L. f. fragilis|N/A|N/A|N/A|N/A
721|S.|s. discolor muhl.|s. myricoides muhl. (as s. glaucophylloides fernald)|S. discolor Muhl.|S. myricoides Muhl. (as S. glaucophylloides Fernald)
722|S.|N/A|N/A|N/A|N/A
723|S. alba L.|N/A|N/A|N/A|N/A
724|S. lasiolepis Benth.|N/A|N/A|N/A|N/A
725|S. babylonica L.|N/A|N/A|N/A|N/A
