id|species|mother_lower_case|father_lower_case|mother_orig_case|father_orig_case
420|S. ×mollissima Hoffm. ex Elwert (S. triandra L. × S. viminalis L.)|N/A|N/A|N/A|N/A
421|N/A|N/A|N/A|N/A|N/A
422|S. ×doniana Sm. (S. purpurea L. × S. repens L.)|N/A|N/A|N/A|N/A
423|S. ledebouriana Trautv.|N/A|N/A|N/A|N/A
424|N/A|N/A|N/A|N/A|N/A
425|N/A|N/A|N/A|N/A|N/A
426|S. lanata L.|N/A|N/A|N/A|N/A
427|N/A|N/A|N/A|N/A|N/A
428|N/A|N/A|N/A|N/A|N/A
429|S. babylonica L.|N/A|N/A|N/A|N/A
430|S. acutifolia Willd.|N/A|N/A|N/A|N/A
431|S. acutifolia Willd.|N/A|N/A|N/A|N/A
432|S. purpurea L.|N/A|N/A|N/A|N/A
433|S. purpurea L.|N/A|N/A|N/A|N/A
434|S. ×fragilis L. f. fragilis|N/A|N/A|N/A|N/A
435|S. ×mollissima Hoffm. ex Elwert (S. triandra L. × S. viminalis L.)|N/A|N/A|N/A|N/A
436|S. triandra L.|N/A|N/A|N/A|N/A
437|S. babylonica L.|N/A|N/A|N/A|N/A
438|S. ×fragilis L. f. fragilis|N/A|N/A|N/A|N/A
439|S. daphnoides Vill.|N/A|N/A|N/A|N/A
440|S. ×fragilis L. f. fragilis|N/A|N/A|N/A|N/A
441|S. ×fragilis f. vitellina (L.) I.V. Belyaeva|N/A|N/A|N/A|N/A
442|S. babylonica L.|N/A|N/A|N/A|N/A
443|S. purpurea L.|N/A|N/A|N/A|N/A
444|S. ×fragilis L. f. fragilis|N/A|N/A|N/A|N/A
445|S. ×fragilis L. f. fragilis|N/A|N/A|N/A|N/A
446|S. purpurea L.|N/A|N/A|N/A|N/A
447|S. caprea L.|N/A|N/A|N/A|N/A
448|S. ×fragilis L. f. fragilis|N/A|N/A|N/A|N/A
449|S. ×fragilis L. f. fragilis|N/A|N/A|N/A|N/A
450|S. daphnoides Vill.|N/A|N/A|N/A|N/A
451|S.|N/A|N/A|N/A|N/A
452|S.|N/A|N/A|N/A|N/A
453|S. alba L.|N/A|N/A|N/A|N/A
454|S.|N/A|N/A|N/A|N/A
455|S. alba L.|N/A|N/A|N/A|N/A
456|S. alba L.|N/A|N/A|N/A|N/A
457|S. purpurea L.|N/A|N/A|N/A|N/A
458|S. triandra L.|N/A|N/A|N/A|N/A
459|S. triandra L.|N/A|N/A|N/A|N/A
460|S. purpurea L.|N/A|N/A|N/A|N/A
461|S. purpurea L.|N/A|N/A|N/A|N/A
462|N/A|N/A|N/A|N/A|N/A
463|S.|s. inger|s. sw 010480|S. ‘Inger’|S. ‘SW 010480’
464|S. purpurea L.|N/A|N/A|N/A|N/A
465|S.|s. tordis|s. olof|S. ‘Tordis’|S. ‘Olof’
466|S. gmelinii Pall. (syn. S. dasyclados Wimm., S. burjatica Nasarow)|s. gmelinii (as s. dasyclados) dasy 86|s. gmelinii (as s. dasyclados) dasy 88|S. gmelinii (as S. dasyclados) ‘Dasy 86‘|S. gmelinii (as S. dasyclados) ‘Dasy 88‘
