id|name_unique-lowercase_mother_father|name_unique_origcase_mother_father|mother_origcase_unique|father_origcase_unique
36|s. koryanagi kimura ex goerz sh3~s. purpurea l. 94002|S. koryanagi Kimura ex Goerz SH3~S. purpurea L. 94002|S. koryanagi Kimura ex Goerz ‘SH3’|S. purpurea L. ‘94002’
37|s. koryanagi kimura ex goerz sh3~s. purpurea l. 95058|S. koryanagi Kimura ex Goerz SH3~S. purpurea L. 95058|S. koryanagi Kimura ex Goerz ‘SH3’|S. purpurea L. ‘95058’
38|s. l 78195~s. l 78101|S. L 78195~S. L 78101|S. ‘L 78195’|S. ‘L 78101’
39|s. l 79069~s. orm|S. L 79069~S. Orm|S. ‘L 79069’|S. ‘Orm’
40|s. l 810203~s. nl 420|S. L 810203~S. NL 420|S. ‘L 810203’|S. ‘NL 420’
41|s. l 814220~s. l 820381|S. L 814220~S. L 820381|S. ‘L 814220’|S. ‘L 820381’
42|s. l 830201~s. nl 420|S. L 830201~S. NL 420|S. ‘L 830201’|S. ‘NL 420’
43|s. l 830332~s. nl 420|S. L 830332~S. NL 420|S. ‘L 830332’|S. ‘NL 420’
44|s. lanata~s. lapponum l.|S. lanata~S. lapponum L.|S. lanata|S. lapponum L.
45|s. ledebouriana trautv. f. kuraica liss.~a hybrid of s. purpurea l.|S. ledebouriana Trautv. f. kuraica Liss.~a hybrid of S. purpurea L.|S. ledebouriana Trautv. f. kuraica Liss.|a hybrid of S. purpurea L.
46|s. linnéa~s. miyabeana seemen|S. Linnéa~S. miyabeana Seemen|S. ‘Linnéa’|S. miyabeana Seemen
47|s. magnifica hemsl.~s. ×erdingeri a.kern.|S. magnifica Hemsl.~S. ×erdingeri A.Kern.|S. magnifica Hemsl.|S. ×erdingeri A.Kern.
48|s. magnifica hemsl.~s. muscina dode ex flod.|S. magnifica Hemsl.~S. muscina Dode ex Flod.|S. magnifica Hemsl.|S. muscina Dode ex Flod.
49|s. matsudana lafayette~s. alba (accession # 99010)|S. matsudana LaFayette~S. alba (accession # 99010)|S. matsudana ‘LaFayette’|S. alba (accession # 99010)
50|s. miyabeana seemen~s. viminalis l.|S. miyabeana Seemen~S. viminalis L.|S. miyabeana Seemen|S. viminalis L.
51|s. miyabeana seemen sx61~s. miyabeana sx67|S. miyabeana Seemen SX61~S. miyabeana SX67|S. miyabeana Seemen ‘SX61’|S. miyabeana ‘SX67’
52|s. miyabeana sx61 (previously listed as s. sachalinensis sx61)~s. miyabeana sx64|S. miyabeana SX61 (previously listed as S. sachalinensis SX61)~S. miyabeana SX64|S. miyabeana ‘SX61’ (previously listed as S. sachalinensis ‘SX61’)|S. miyabeana ‘SX64’
53|s. myrsinifolia salisb.~s. phylicifolia l.|S. myrsinifolia Salisb.~S. phylicifolia L.|S. myrsinifolia Salisb.|S. phylicifolia L.
54|s. × pendulina f. salamonii i.v.belyaeva vitellina-tristis~s. babylonica l. babylon|S. × pendulina f. salamonii I.V.Belyaeva Vitellina-tristis~S. babylonica L. Babylon|S. × pendulina f. salamonii I.V.Belyaeva ‘Vitellina-tristis’|S. babylonica L. ‘Babylon’
55|s. pentandra l.~s. euxina i.v.belyaeva|S. pentandra L.~S. euxina I.V.Belyaeva|S. pentandra L.|S. euxina I.V.Belyaeva
56|s. pentandra l.~s. ´fragilis l.|S. pentandra L.~S. ´fragilis L.|S. pentandra L.|S. ´fragilis L.
57|s. pentandra l.~s. triandra l.|S. pentandra L.~S. triandra L.|S. pentandra L.|S. triandra L.
58|s. purpurea l. 94006~s. miyabeana seemen sx67|S. purpurea L. 94006~S. miyabeana Seemen SX67|S. purpurea L.|× S. miyabeana Seemen
59|s. purpurea l. 94006~s. purpurea 94001|S. purpurea L. 94006~S. purpurea 94001|S. purpurea L.|S. miyabeana Seemen
60|s. purpurea l. 95026~s. miyabeana seemen sx64|S. purpurea L. 95026~S. miyabeana Seemen SX64|S. purpurea L. ‘94006’|S. purpurea ‘94001’
61|s. purpurea l.~× s. miyabeana seemen|S. purpurea L.~× S. miyabeana Seemen|S. purpurea L. ‘94006’|S. miyabeana Seemen ‘SX67’
62|s. purpurea l.~s. miyabeana seemen|S. purpurea L.~S. miyabeana Seemen|S. purpurea L. ‘95026’|S. miyabeana Seemen ‘SX64’
63|s. rot 7~s. n 2420|S. Rot 7~S. N 2420|S. ‘Rot 7’|S. ‘N 2420’
64|s. schwerinii e.l.wolf l 79069~s. orm|S. schwerinii E.L.Wolf L 79069~S. Orm|S. schwerinii E.L.Wolf|S. schwerinii E.L.Wolf ´ S. udensis Trautv. & C. Meyer
65|s. schwerinii e.l.wolf~s. gmelinii pall.|S. schwerinii E.L.Wolf~S. gmelinii Pall.|S. schwerinii E.L.Wolf|S. gmelinii Pall.
66|s. schwerinii e.l.wolf~s. schwerinii e.l.wolf ´ s. udensis trautv. & c. meyer|S. schwerinii E.L.Wolf~S. schwerinii E.L.Wolf ´ S. udensis Trautv. & C. Meyer|S. schwerinii E.L.Wolf|S. viminalis L.
67|s. schwerinii e.l.wolf~s. viminalis l.|S. schwerinii E.L.Wolf~S. viminalis L.|S. schwerinii E.L.Wolf|unknown
68|s. schwerinii e.l.wolf~unknown|S. schwerinii E.L.Wolf~unknown|S. schwerinii E.L.Wolf ‘L 79069’|S. ‘Orm’
69|s. sherwood~s. björn|S. Sherwood~S. Björn|S. ‘Sherwood’|S. ‘Björn’
70|s. suchowensis w.c. cheng ex g.h. zhu~s. leucopithecia kimura|S. suchowensis W.C. Cheng ex G.H. Zhu~S. leucopithecia Kimura|S. suchowensis W.C. Cheng ex G.H. Zhu|S. leucopithecia Kimura
71|s. sw 901321~s. sw 881031|S. SW 901321~S. SW 881031|S. ‘SW 901321’|S. ‘SW 881031’
72|s. sw 901321~s. sw 881128|S. SW 901321~S. SW 881128|S. ‘SW 901321’|S. ‘SW 881128’
73|s. sw 911096~s. jorr|S. SW 911096~S. Jorr|S. ‘SW 911096’|S. ‘Jorr’
74|s. sw 930887~s. björn|S. SW 930887~S. Björn|S. ‘SW 930887’|S. ‘Björn’
75|s. sw 950236~s. ivar|S. SW 950236~S. Ivar|S. ‘SW 950236’|S. ‘Ivar’
76|s. sw 960039~s. olof|S. SW 960039~S. Olof|S. ‘SW 960039’|S. ‘Olof’
77|s. sw 960503~s. la 970111|S. SW 960503~S. LA 970111|S. ‘SW 960503’|S. ‘LA 970111’
78|s. sw 980168~s. olof|S. SW 980168~S. Olof|S. ‘SW 980168’|S. ‘Olof’
79|s. sw inger~s. olof|S. SW Inger~S. Olof|S. ‘SW Inger’|S. ‘Wilhelm‘
80|s. sw inger~s. sven|S. SW Inger~S. Sven|S. ‘SW Inger’|S. ‘Olof’
81|s. sw inger~s. wilhelm|S. SW Inger~S. Wilhelm|S. ‘SW Inger’|S. ‘Sven’
82|s. tora~s. aegyptiaca l.|S. Tora~S. aegyptiaca L.|S. ‘Tora’|S. ‘Orm’
83|s. tora~s. orm|S. Tora~S. Orm|S. ‘Tora’|S. aegyptiaca L.
84|s. tora~s. ulv|S. Tora~S. Ulv|S. ‘Tora’|S. ‘Ulv’
85|s. tordis~s. björn|S. Tordis~S. Björn|S. ‘Tordis’|S. ‘Olof’
86|s. tordis~s. gmelinii pall|S. Tordis~S. gmelinii Pall|S. ‘Tordis’|S. ‘Björn’
87|s. tordis~s. olof|S. Tordis~S. Olof|S. ‘Tordis’|S. gmelinii Pall
88|s. torhild~s. sw 990562|S. Torhild~S. SW 990562|S. ‘Torhild’|S. ‘SW 990562’
89|s. udensis trautv. & c.a.mey. (as s. sachalinensis f.schmidt)~s. miyabeana seemen|S. udensis Trautv. & C.A.Mey. (as S. sachalinensis F.Schmidt)~S. miyabeana Seemen|S. udensis Trautv. & C.A.Mey.|S. miyabeana Seemen
90|s. udensis trautv. & c.a.mey.~s. miyabeana seemen|S. udensis Trautv. & C.A.Mey.~S. miyabeana Seemen|S. udensis Trautv. & C.A.Mey. (as S. sachalinensis F.Schmidt)|S. miyabeana Seemen
91|s. viminalis l.~s. miyabeana seemen|S. viminalis L.~S. miyabeana Seemen|S. viminalis L.|S. miyabeana Seemen
92|s. viminalis l.~s. purpurea l.|S. viminalis L.~S. purpurea L.|S. viminalis L.|S. purpurea L.
93|s. viminalis l. sv2~s. miyabeana seemen sx61 × s. miyabeana 9970-037|S. viminalis L. SV2~S. miyabeana Seemen SX61 × S. miyabeana 9970-037|S. viminalis L. ‘SV2’|S. miyabeana Seemen ‘SX61’ × S. miyabeana ‘9970-037’
94|s. viminalis l. sv2~s. miyabeana seemen sx64|S. viminalis L. SV2~S. miyabeana Seemen SX64|S. viminalis L. ‘SV2’|S. miyabeana Seemen ‘SX64’
95|s. viminalis l. sv2~s. miyabeana seemen sx67|S. viminalis L. SV2~S. miyabeana Seemen SX67|S. viminalis L. ‘SV2’|S. miyabeana Seemen ‘SX67’
96|s. viminalis l. sv7~s. miyabeana seemen sx64|S. viminalis L. SV7~S. miyabeana Seemen SX64|S. viminalis L. ‘SV7’|S. miyabeana Seemen ‘SX64’
