id,setid,long_ft,short_ft,row,col,block,dbh,year,site,name
1,1,9,9,1,1,1,5.6,2013,U07m,17XGA24
2,1,9,9,2,1,1,3.2,2013,U07m,17XGA04
3,1,9,9,3,1,1,8,2013,U07m,17XGA04
4,1,9,9,4,1,1,4,2013,U07m,17XGA5
5,1,9,9,5,1,1,5.8,2013,U07m,82XAA04
6,1,9,9,6,1,1,5,2013,U07m,82XAA04
7,1,9,9,7,1,1,8.7,2013,U07m,82XAA04
8,1,9,9,8,1,1,0,2013,U07m,82XAA04
9,1,9,9,9,1,1,0,2013,U07m,2XT4E04
10,1,9,9,10,1,1,0,2013,U07m,2XT4E04
11,1,9,9,11,1,1,0,2013,U07m,2XT4E04
12,1,9,9,12,1,1,0,2013,U07m,2XT4E04
13,1,9,9,13,1,1,8.7,2013,U07m,83XAA04
14,1,9,9,14,1,1,9.8,2013,U07m,83XAA04
15,1,9,9,15,1,1,9.4,2013,U07m,83XAA04
16,1,9,9,16,1,1,8.9,2013,U07m,83XAA04
17,1,9,9,17,1,1,6.3,2013,U07m,81XAA04
18,1,9,9,18,1,1,9.3,2013,U07m,81XAA04
19,1,9,9,19,1,1,7.9,2013,U07m,81XAA04
20,1,9,9,20,1,1,4,2013,U07m,81XAA04
21,1,9,9,21,1,1,0,2013,U07m,NM6
22,1,9,9,1,2,2,9.4,2013,U07m,80XAA04
23,1,9,9,2,2,2,6.8,2013,U07m,80XAA04
24,1,9,9,3,2,2,6.4,2013,U07m,80XAA04
25,1,9,9,4,2,2,3,2013,U07m,80XAA04
26,1,9,9,5,2,2,8,2013,U07m,84XAA04
27,1,9,9,6,2,2,6,2013,U07m,84XAA04
28,1,9,9,7,2,2,7.7,2013,U07m,84XAA04
29,1,9,9,8,2,2,4.7,2013,U07m,84XAA04
30,1,9,9,9,2,2,4.4,2013,U07m,18XAG04
31,1,9,9,10,2,2,6,2013,U07m,18XAG04
32,1,9,9,11,2,2,8.2,2013,U07m,18XAG04
33,1,9,9,12,2,2,7.7,2013,U07m,18XAG04
34,1,9,9,13,2,2,0,2013,U07m,81XAA04
35,1,9,9,14,2,2,5.5,2013,U07m,81XAA04
36,1,9,9,15,2,2,2.9,2013,U07m,81XAA04
37,1,9,9,16,2,2,0,2013,U07m,81XAA04
38,1,9,9,17,2,2,6.1,2013,U07m,80XAA04
39,1,9,9,18,2,2,5.9,2013,U07m,80XAA04
40,1,9,9,19,2,2,8.6,2013,U07m,80XAA04
41,1,9,9,20,2,2,8,2013,U07m,80XAA04
42,1,9,9,21,2,2,3.8,2013,U07m,NM6
43,1,9,9,1,3,3,8.9,2013,U07m,83XAA04
44,1,9,9,2,3,3,8.4,2013,U07m,83XAA04
45,1,9,9,3,3,3,6.6,2013,U07m,83XAA04
46,1,9,9,4,3,3,9.1,2013,U07m,83XAA04
47,1,9,9,5,3,3,6,2013,U07m,1XTE04
48,1,9,9,6,3,3,3.3,2013,U07m,1XTE04
49,1,9,9,7,3,3,5,2013,U07m,1XTE04
50,1,9,9,8,3,3,5.8,2013,U07m,1XTE04
51,1,9,9,9,3,3,9.2,2013,U07m,80XAA04
52,1,9,9,10,3,3,4.9,2013,U07m,80XAA04
53,1,9,9,11,3,3,0,2013,U07m,80XAA04
54,1,9,9,12,3,3,10.1,2013,U07m,80XAA04
55,1,9,9,13,3,3,7.1,2013,U07m,82XAA04
56,1,9,9,14,3,3,7.3,2013,U07m,82XAA04
57,1,9,9,15,3,3,6.2,2013,U07m,82XAA04
58,1,9,9,16,3,3,6.2,2013,U07m,82XAA04
59,1,9,9,17,3,3,7.5,2013,U07m,83XAA04
60,1,9,9,18,3,3,6.5,2013,U07m,83XAA04
61,1,9,9,19,3,3,5,2013,U07m,83XAA04
62,1,9,9,20,3,3,7.4,2013,U07m,83XAA04
63,1,9,9,21,3,3,8.8,2013,U07m,NM6
64,1,9,9,1,4,4,0,2013,U07m,85XAA04
65,1,9,9,2,4,4,4.4,2013,U07m,85XAA04
66,1,9,9,3,4,4,0,2013,U07m,85XAA04
67,1,9,9,4,4,4,0,2013,U07m,85XAA04
68,1,9,9,5,4,4,6.3,2013,U07m,18XAG04
69,1,9,9,6,4,4,5.6,2013,U07m,18XAG04
70,1,9,9,7,4,4,3.6,2013,U07m,18XAG04
71,1,9,9,8,4,4,6.6,2013,U07m,18XAG04
72,1,9,9,9,4,4,1.8,2013,U07m,85XAA04
73,1,9,9,10,4,4,2.7,2013,U07m,85XAA04
74,1,9,9,11,4,4,0,2013,U07m,85XAA04
75,1,9,9,12,4,4,0,2013,U07m,85XAA04
76,1,9,9,13,4,4,5.1,2013,U07m,84XAA04
77,1,9,9,14,4,4,0,2013,U07m,84XAA04
78,1,9,9,15,4,4,7.1,2013,U07m,84XAA04
79,1,9,9,16,4,4,7.7,2013,U07m,84XAA04
80,1,9,9,17,4,4,3.5,2013,U07m,82XAA04
81,1,9,9,18,4,4,8.4,2013,U07m,82XAA04
82,1,9,9,19,4,4,6.1,2013,U07m,82XAA04
83,1,9,9,20,4,4,5.7,2013,U07m,82XAA04
84,1,9,9,21,4,4,7.7,2013,U07m,NM6
85,1,9,9,1,5,5,2.7,2013,U07m,81XAA04
86,1,9,9,2,5,5,6.9,2013,U07m,81XAA04
87,1,9,9,3,5,5,4.8,2013,U07m,81XAA04
88,1,9,9,4,5,5,10.2,2013,U07m,81XAA04
89,1,9,9,5,5,5,0,2013,U07m,2XT4E04
90,1,9,9,6,5,5,0,2013,U07m,2XT4E04
91,1,9,9,7,5,5,0,2013,U07m,2XT4E04
92,1,9,9,8,5,5,0,2013,U07m,2XT4E04
93,1,9,9,9,5,5,4.8,2013,U07m,84XAA04
94,1,9,9,10,5,5,4.3,2013,U07m,84XAA04
95,1,9,9,11,5,5,9.7,2013,U07m,84XAA04
96,1,9,9,12,5,5,8.3,2013,U07m,84XAA04
97,1,9,9,13,5,5,2.9,2013,U07m,17XGA04
98,1,9,9,14,5,5,5.1,2013,U07m,17XGA04
99,1,9,9,15,5,5,6.7,2013,U07m,17XGA04
100,1,9,9,16,5,5,5,2013,U07m,17XGA04
101,1,9,9,17,5,5,0,2013,U07m,85XAA04
102,1,9,9,18,5,5,3.7,2013,U07m,85XAA04
103,1,9,9,19,5,5,1.9,2013,U07m,85XAA04
104,1,9,9,20,5,5,0,2013,U07m,85XAA04
105,1,9,9,21,5,5,6.9,2013,U07m,NM6
106,1,9,9,1,6,6,9.2,2013,U07m,81XAA04
107,1,9,9,2,6,6,6.7,2013,U07m,81XAA04
108,1,9,9,3,6,6,7.5,2013,U07m,81XAA04
109,1,9,9,4,6,6,0,2013,U07m,81XAA04
110,1,9,9,5,6,6,5.7,2013,U07m,82XAA04
111,1,9,9,6,6,6,7.9,2013,U07m,82XAA04
112,1,9,9,7,6,6,6.9,2013,U07m,82XAA04
113,1,9,9,8,6,6,6.1,2013,U07m,82XAA04
114,1,9,9,9,6,6,2.5,2013,U07m,18XAG04
115,1,9,9,10,6,6,7.2,2013,U07m,18XAG04
116,1,9,9,11,6,6,1.3,2013,U07m,18XAG04
117,1,9,9,12,6,6,5.7,2013,U07m,18XAG04
118,1,9,9,13,6,6,0,2013,U07m,1XTE04
119,1,9,9,14,6,6,0,2013,U07m,1XTE04
120,1,9,9,15,6,6,0,2013,U07m,1XTE04
121,1,9,9,16,6,6,2.9,2013,U07m,1XTE04
122,1,9,9,17,6,6,4.3,2013,U07m,82XAA04
123,1,9,9,18,6,6,6.8,2013,U07m,82XAA04
124,1,9,9,19,6,6,6.1,2013,U07m,82XAA04
125,1,9,9,20,6,6,7,2013,U07m,82XAA04
126,1,9,9,21,6,6,7.5,2013,U07m,NM6
127,1,9,9,1,7,7,8.5,2013,U07m,83XAA04
128,1,9,9,2,7,7,8.1,2013,U07m,83XAA04
129,1,9,9,3,7,7,7.4,2013,U07m,83XAA04
130,1,9,9,4,7,7,8.2,2013,U07m,83XAA04
131,1,9,9,5,7,7,0,2013,U07m,2XT4E04
132,1,9,9,6,7,7,0,2013,U07m,2XT4E04
133,1,9,9,7,7,7,3.9,2013,U07m,2XT4E04
134,1,9,9,8,7,7,3,2013,U07m,2XT4E04
135,1,9,9,9,7,7,4.7,2013,U07m,17XGA04
136,1,9,9,10,7,7,3.9,2013,U07m,17XGA04
137,1,9,9,11,7,7,5.9,2013,U07m,17XGA04
138,1,9,9,12,7,7,0,2013,U07m,17XGA04
139,1,9,9,13,7,7,8.9,2013,U07m,83XAA04
140,1,9,9,14,7,7,7.5,2013,U07m,83XAA04
141,1,9,9,15,7,7,8.2,2013,U07m,83XAA04
142,1,9,9,16,7,7,9.9,2013,U07m,83XAA04
143,1,9,9,17,7,7,0,2013,U07m,81XAA04
144,1,9,9,18,7,7,5,2013,U07m,81XAA04
145,1,9,9,19,7,7,4.5,2013,U07m,81XAA04
146,1,9,9,20,7,7,8,2013,U07m,81XAA04
147,1,9,9,21,7,7,3.3,2013,U07m,85XAA04
148,1,9,9,1,8,8,2.4,2013,U07m,1XTE04
149,1,9,9,2,8,8,0,2013,U07m,1XTE04
150,1,9,9,3,8,8,1.5,2013,U07m,1XTE04
151,1,9,9,4,8,8,2.4,2013,U07m,1XTE04
152,1,9,9,5,8,8,6,2013,U07m,18XAG04
153,1,9,9,6,8,8,2.6,2013,U07m,18XAG04
154,1,9,9,7,8,8,2.2,2013,U07m,18XAG04
155,1,9,9,8,8,8,5.3,2013,U07m,18XAG04
156,1,9,9,9,8,8,7.3,2013,U07m,82XAA04
