id,setid,long_ft,short_ft,row,col,block,dbh,year,site,name,plot,ibap,iba,ibamai,batot,ht,stms,Canker
59,9,9,9,17,3,5,7.5,2013,U07m,83XAA04,15,11%,0.031,0.034,0.306,NA,2,0
60,9,9,9,18,3,5,6.5,2013,U07m,83XAA04,15,3%,0.007,0.026,0.23,NA,1,0
61,9,9,9,19,3,5,5,2013,U07m,83XAA04,15,9%,0.011,0.015,0.136,NA,1,0
62,9,9,9,20,3,5,7.4,2013,U07m,83XAA04,15,26%,0.061,0.033,0.295,NA,2,0
63,9,9,9,21,3,NA,8.8,2013,U07m,NM6,NA,6%,0.025,0.047,0.422,NA,3,2
64,9,9,9,1,4,1,0,2013,U07m,85XAA04,20,NA,NA,0,0,NA,0,0
65,9,9,9,2,4,1,4.4,2013,U07m,85XAA04,20,10%,0.009,0.012,0.106,NA,1,0
66,9,9,9,3,4,1,0,2013,U07m,85XAA04,20,NA,NA,0,0,NA,0,0
67,9,9,9,4,4,1,0,2013,U07m,85XAA04,20,NA,NA,0,0,NA,0,0
68,9,9,9,5,4,1,6.3,2013,U07m,18XAG04,19,5%,0.01,0.024,0.217,NA,2,0
69,9,9,9,6,4,1,5.6,2013,U07m,18XAG04,19,0%,0,0.019,0.171,NA,1,0
70,9,9,9,7,4,1,3.6,2013,U07m,18XAG04,19,0%,0,0.008,0.069,NA,2,0
71,9,9,9,8,4,1,6.6,2013,U07m,18XAG04,19,7%,0.016,0.026,0.236,NA,2,0
72,9,9,9,9,4,4,1.8,2013,U07m,85XAA04,18,0%,0,0.002,0.018,NA,1,0
73,9,9,9,10,4,4,2.7,2013,U07m,85XAA04,18,0%,0,0.004,0.04,NA,1,0
74,9,9,9,11,4,4,0,2013,U07m,85XAA04,18,NA,NA,0,0,NA,0,0
75,9,9,9,12,4,4,0,2013,U07m,85XAA04,18,NA,NA,0,0,NA,0,0
76,9,9,9,13,4,5,5.1,2013,U07m,84XAA04,17,15%,0.018,0.016,0.14,NA,2,0
77,9,9,9,14,4,5,0,2013,U07m,84XAA04,17,NA,NA,0,0,NA,0,0
78,9,9,9,15,4,5,7.1,2013,U07m,84XAA04,17,9%,0.023,0.031,0.275,NA,1,0
79,9,9,9,16,4,5,7.7,2013,U07m,84XAA04,17,4%,0.012,0.036,0.324,NA,3,0
80,9,9,9,17,4,5,3.5,2013,U07m,82XAA04,16,0%,0,0.007,0.067,NA,1,0
81,9,9,9,18,4,5,8.4,2013,U07m,82XAA04,16,24%,0.074,0.043,0.389,NA,3,0
82,9,9,9,19,4,5,6.1,2013,U07m,82XAA04,16,10%,0.018,0.023,0.206,NA,2,0
83,9,9,9,20,4,5,5.7,2013,U07m,82XAA04,16,0%,0,0.02,0.177,NA,3,0
84,9,9,9,21,4,NA,7.7,2013,U07m,NM6,NA,20%,0.053,0.036,0.32,NA,2,2
85,9,9,9,1,5,1,2.7,2013,U07m,81XAA04,21,0%,0,0.004,0.04,NA,2,0
86,9,9,9,2,5,1,6.9,2013,U07m,81XAA04,21,6%,0.015,0.029,0.26,NA,1,0
87,9,9,9,3,5,1,4.8,2013,U07m,81XAA04,21,4%,0.005,0.014,0.126,NA,1,0
88,9,9,9,4,5,1,10.2,2013,U07m,81XAA04,21,7%,0.038,0.063,0.566,NA,2,0
89,9,9,9,5,5,1,0,2013,U07m,2XT4E04,22,NA,NA,0,0,NA,0,0
90,9,9,9,6,5,1,0,2013,U07m,2XT4E04,22,NA,NA,0,0,NA,0,0
91,9,9,9,7,5,1,0,2013,U07m,2XT4E04,22,NA,NA,0,0,NA,0,0
92,9,9,9,8,5,1,0,2013,U07m,2XT4E04,22,NA,NA,0,0,NA,0,0
93,9,9,9,9,5,4,4.8,2013,U07m,84XAA04,23,9%,0.01,0.014,0.126,NA,1,0
94,9,9,9,10,5,4,4.3,2013,U07m,84XAA04,23,15%,0.013,0.011,0.099,NA,2,0
95,9,9,9,11,5,4,9.7,2013,U07m,84XAA04,23,28%,0.113,0.057,0.514,NA,2,0
96,9,9,9,12,5,4,8.3,2013,U07m,84XAA04,23,37%,0.101,0.042,0.376,NA,1,0
97,9,9,9,13,5,5,2.9,2013,U07m,17XGA04,24,7%,0.003,0.005,0.046,NA,1,0
98,9,9,9,14,5,5,5.1,2013,U07m,17XGA04,24,6%,0.008,0.016,0.142,NA,2,0
99,9,9,9,15,5,5,6.7,2013,U07m,17XGA04,24,0%,0,0.027,0.245,NA,1,0
100,9,9,9,16,5,5,5,2013,U07m,17XGA04,24,2%,0.003,0.015,0.136,NA,2,0
101,9,9,9,17,5,5,0,2013,U07m,85XAA04,25,NA,NA,0,0,NA,0,0
102,9,9,9,18,5,5,3.7,2013,U07m,85XAA04,25,0%,0,0.008,0.075,NA,1,0
103,9,9,9,19,5,5,1.9,2013,U07m,85XAA04,25,0%,0,0.002,0.02,NA,1,0
104,9,9,9,20,5,5,0,2013,U07m,85XAA04,25,NA,NA,0,0,NA,0,0
105,9,9,9,21,5,NA,6.9,2013,U07m,NM6,NA,4%,0.009,0.029,0.261,NA,2,2
106,9,9,9,1,6,2,9.2,2013,U07m,81XAA04,30,5%,0.022,0.051,0.459,NA,2,0
107,9,9,9,2,6,2,6.7,2013,U07m,81XAA04,30,0%,0,0.027,0.245,NA,1,0
108,9,9,9,3,6,2,7.5,2013,U07m,81XAA04,30,56%,0.11,0.034,0.307,NA,1,0
109,9,9,9,4,6,2,0,2013,U07m,81XAA04,30,NA,NA,0,0,NA,0,0
110,9,9,9,5,6,2,5.7,2013,U07m,82XAA04,29,4%,0.006,0.02,0.177,NA,1,0
111,9,9,9,6,6,2,7.9,2013,U07m,82XAA04,29,3%,0.011,0.038,0.339,NA,2,0
112,9,9,9,7,6,2,6.9,2013,U07m,82XAA04,29,8%,0.02,0.029,0.26,NA,3,0
113,9,9,9,8,6,2,6.1,2013,U07m,82XAA04,29,34%,0.051,0.023,0.203,NA,2,0
114,9,9,9,9,6,3,2.5,2013,U07m,18XAG04,28,0%,0,0.004,0.034,NA,1,0
115,9,9,9,10,6,3,7.2,2013,U07m,18XAG04,28,15%,0.037,0.031,0.282,NA,2,0
116,9,9,9,11,6,3,1.3,2013,U07m,18XAG04,28,40%,0.003,0.001,0.009,NA,2,0
117,9,9,9,12,6,3,5.7,2013,U07m,18XAG04,28,25%,0.035,0.02,0.177,NA,1,0
118,9,9,9,13,6,3,0,2013,U07m,1XTE04,27,NA,NA,0,0,NA,0,0
