 1XBAR      | >F1 20XAAG91=(A266 x CRANDON) >F2 1XBAR=(CAG204 x AAG2001)
 1XEE91     | >F1 1XEE91=(E138 x E120)
 1XGA84     | >F1 1XGA84=(SEITSMABT x JAMIE)
 1XGAAG91   | >F1 1XGAAG91=(GA14 x AGMORIN)
 1XGAG91    | >F1 1XGAG91=(BT044 x AGMORIN)
 1XGE91     | >F1 1XGE91=(BT044 x E120)
 1XGG91     | >F1 1XGG91=(BT044 x BT016)
 1XGT90     | >F1 1XGT90=(BT2 x ST3)
 1XT4E04    | >F1 1XT4E04=(T8057 x TA10)
 1XTE04     | >F1 1XTE04=(CLONE5 x TA483)
 1XTG90     | >F1 1XTG90=(ST071 x BT1)
 1XTT91     | >F1 1XTT91=(ST071 x ST072)
 20XAA91    | >F1 20XAA91=(A266 x A546)
 20XAAG91   | >F1 20XAAG91=(A266 x CRANDON)
 21XAA91    | >F1 21XAA91=(A502 x A73)
 21XAAG91   | >F1 32XAA91=(A266 x PRINCE) >F2 21XAAG91=(AA3201 x CRANDON)
 21XBA      | >F1 23XAA91=(PCA2 x PRINCE) >F2 80XAA04=(AA2301 x AA4102) >F3 21XBA=(CAG204 x 80AA3MF)
 21XBA      | >F1 41XAA91=(A10 x A73) >F2 80XAA04=(AA2301 x AA4102) >F3 21XBA=(CAG204 x 80AA3MF)
 22XAA91    | >F1 22XAA91=(A502 x PRINCE)
 22XAAG92   | >F1 22XAAG92=(A266 x AGM46)
 22XAR      | >F1 3XAA89=(A10 x JAMIE) >F2 22XAR=(3AA202 x AGRR1)
 22XBG      | >F1 22XBG=(CAG204 x GG4)
 23XAA91    | >F1 23XAA91=(PCA2 x PRINCE)
 23XAAG92   | >F1 23XAAG92=(PCA1 x AGM46)
 23XBA      | >F1 41XAA91=(A10 x A73) >F2 82XAA04=(AA901 x AA4102) >F3 23XBA=(CAG204 x 82AA3)
 23XBA      | >F1 9XAA90=(A266 x A344) >F2 82XAA04=(AA901 x AA4102) >F3 23XBA=(CAG204 x 82AA3)
 24XAA91    | >F1 24XAA91=(A101 x JAMIE)
 24XR       | >F1 9XAGA91=(FHAG x PRINCE) >F2 24XR=(82AA4 x GG12)
 25XAA91    | >F1 25XAA91=(A266 x PA092)
 25XR       | >F1 41XAA91=(A10 x A73) >F2 83XAA04=(A502 x AA4102) >F3 25XR=(83AA301 x GG12)
 26XAA91    | >F1 26XAA91=(PCA2 x A73)
 27XAA91    | >F1 27XAA91=(A10 x PRINCE)
 28XAA91    | >F1 28XAA91=(A266 x A73)
 29XAA91    | >F1 29XAA91=(A266 x YUGO2)
 2XA4E05    | >F1 2XA4E05=(A266 x TA10)
 2XAA88     | >F1 2XAA88=(A266 x JAMIE)
 2XAAE06    | >F1 2XAAE06=(A502 x GROBER)
 2XAAG88    | >F1 2XAAG88=(A266 x AGMORIN)
 2XAC91     | >F1 2XAC91=(A266 x C28)
 2XAG90     | >F1 2XAG90=(A266 x FHBT)
 2XAGA90    | >F1 2XAGA90=(CRANDON x A344)
 2XAGC91    | >F1 2XAGC91=(FHAG x C28)
 2XARW      | >F1 20XAAG91=(A266 x CRANDON) >F2 2XARW=(AAG2002 x WIND)
 2XB        | >F1 15XAG91=(A10 x BT016) >F2 2XB=(C173 x 15AG4MF)
 2XEA91     | >F1 2XEA91=(E138 x PRINCE)
 2XEG91     | >F1 2XEG91=(E138 x BT016)
 2XGA88     | >F1 2XGA88=(SEITSMABT x JAMIE)
 2XGAE91    | >F1 2XGAE91=(GA14 x E120)
 2XGAG91    | >F1 2XGAG91=(GA14 x M1BT)
 2XGG91     | >F1 2XGG91=(BT044 x M1BT)
 2XGT91     | >F1 2XGT91=(BT044 x ST072)
 2XRR       | >F1 9XAG91=(PCA2 x BT016) >F2 2XRR=(9AG103 x AGRR1)
 2XT4E04    | >F1 2XT4E04=(CLONE5 x TA10)
 2XTG90     | >F1 2XTG90=(ST071 x FHBT)
 30XAA91    | >F1 30XAA91=(PCA2 x A57)
 31XAA91    | >F1 31XAA91=(A266 x C28)
 32XAA91    | >F1 32XAA91=(A266 x PRINCE)
 33XAA91    | >F1 33XAA91=(A10 x JAMIE)
 35XAA91    | >F1 35XAA91=(PCA2 x JAMIE)
 36XAA91    | >F1 36XAA91=(A502 x A546)
 37XAA91    | >F1 37XAA91=(PCA2 x A546)
 39XAA91    | >F1 39XAA91=(PCA2 x YUGO2)
 3XAA89     | >F1 3XAA89=(A10 x JAMIE)
 3XAAE07    | >F1 3XAAE07=(A502 x GROBER)
 3XAG90     | >F1 3XAG90=(PCA1 x FHBT)
 3XAGA90    | >F1 3XAGA90=(CRANDON x PRINCE)
 3XBC       | >F1 3XBC=(CAG204 x AE42)
 3XEA91     | >F1 3XEA91=(E138 x JAMIE)
 3XRR       | >F1 9XAG91=(PCA2 x BT016) >F2 3XRR=(PLAZA x 9AG105)
 3XTG90     | >F1 3XTG90=(ST2 x BT1)
 40XAA91    | >F1 40XAA91=(A10 x A57)
 41XAA91    | >F1 41XAA91=(A10 x A73)
 43XAA92    | >F1 43XAA92=(A266 x ZOO)
 44XAA92    | >F1 44XAA92=(A266 x TEVERE2)
 45XAA92    | >F1 45XAA92=(A266 x TANARO)
 46XAA92    | >F1 46XAA92=(A266 x JAMIE)
 47XAA92    | >F1 47XAA92=(GODFREY x ZOO)
 48XAA92    | >F1 48XAA92=(GODFREY x JAMIE)
 49XAA92    | >F1 49XAA92=(GODFREY x TEVERE2)
 4XAA89     | >F1 4XAA89=(A316 x JAMIE)
 4XACAG     | >F1 4XACAG=(A502 x CAG177)
 4XAE91     | >F1 4XAE91=(A10 x E120)
 4XAG90     | >F1 4XAG90=(ALGER x FHBT)
 4XAGA90    | >F1 4XAGA90=(ARENAAG x A344)
 4XGW       | >F1 1XGG91=(BT044 x BT016) >F2 4XGW=(GG102 x WIND)
 4XRR       | >F1 4XRR=(PLAZA x AGRR1)
 4XTG91     | >F1 4XTG91=(ST071 x BT016)
 50XAA92    | >F1 50XAA92=(PCA1 x ZOO)
 51XAA92    | >F1 51XAA92=(PCA1 x JAMIE)
 52XAA92    | >F1 52XAA92=(PCA1 x TEVERE2)
 53XAA92    | >F1 1XAA85=(A266 x JAMIE) >F2 53XAA92=(AA101 x ZOO)
 54XAA93    | >F1 54XAA93=(A266 x POL2)
 55XAA93    | >F1 55XAA93=(A266 x POL3)
 56XAA93    | >F1 56XAA93=(A266 x SER41)
 57XAA93    | >F1 57XAA93=(A266 x SER42)
 58XAA93    | >F1 58XAA93=(A266 x SER5)
 59XAA93    | >F1 59XAA93=(A266 x SER6)
 5XAA89     | >F1 5XAA89=(A502 x JAMIE)
 5XAE91     | >F1 5XAE91=(PCA2 x E120)
 5XAGA90    | >F1 5XAGA90=(KENTAG x A344)
 5XCAGR     | >F1 5XCAGR=(CAG204 x AGRR1)
 5XGA91     | >F1 5XGA91=(BT044 x PRINCE)
 5XRB       | >F1 9XAG91=(PCA2 x BT016) >F2 5XRB=(9AG105 x CAG177)
 5XTG91     | >F1 5XTG91=(ST071 x SHELBYBT)
 5XTG93     | >F1 5XTG93=(ST071 x BT016)
 60XAA93    | >F1 60XAA93=(A266 x NORTHFOX)
 61XAA93    | >F1 61XAA93=(A502 x POL2)
 62XAA93    | >F1 62XAA93=(A502 x POL3)
 63XAA93    | >F1 63XAA93=(A502 x SER41)
 64XAA93    | >F1 64XAA93=(A502 x SER42)
 65XAA93    | >F1 65XAA93=(A502 x SER5)
 66XAA93    | >F1 66XAA93=(A502 x SER6)
 67XAA93    | >F1 67XAA93=(A502 x NORTHFOX)
 68XAA93    | >F1 1XAA85=(A266 x JAMIE) >F2 68XAA93=(AA101 x POL2)
 69XAA93    | >F1 1XAA85=(A266 x JAMIE) >F2 69XAA93=(AA101 x POL3)
 6XAA89     | >F1 6XAA89=(A266 x A344)
 6XAGA90    | >F1 6XAGA90=(POSTAG x A344)
 6XBA       | >F1 6XBA=(CAG204 x NORTHFOX)
 6XGA91     | >F1 6XGA91=(BT044 x A57)
 6XGG       | >F1 1XGG91=(BT044 x BT016) >F2 6XGG=(GG102 x GG12)
 6XTG91     | >F1 6XTG91=(ST071 x M1BT)
 70XAA93    | >F1 1XAA85=(A266 x JAMIE) >F2 70XAA93=(AA101 x SER41)
 71XAA93    | >F1 1XAA85=(A266 x JAMIE) >F2 71XAA93=(AA101 x SER42)
 72XAA93    | >F1 1XAA85=(A266 x JAMIE) >F2 72XAA93=(AA101 x SER5)
 73XAA93    | >F1 1XAA85=(A266 x JAMIE) >F2 73XAA93=(AA101 x NORTHFOX)
 74XAA95    | >F1 74XAA95=(SOUTHBELL x JAMIE)
 75XAA95    | >F1 75XAA95=(A266 x JAMIE)
 76XAA02    | >F1 21XAA91=(A502 x A73) >F2 76XAA02=(A502 x AA2101)
 77XAA02    | >F1 21XAA91=(A502 x A73) >F2 77XAA02=(AA4101 x AA2101)
 77XAA02    | >F1 41XAA91=(A10 x A73) >F2 77XAA02=(AA4101 x AA2101)
 78XAA02    | >F1 20XAAG91=(A266 x CRANDON) >F2 78XAA02=(AAG2002 x AA2101)
 78XAA02    | >F1 21XAA91=(A502 x A73) >F2 78XAA02=(AAG2002 x AA2101)
 79XAA03    | >F1 41XAA91=(A10 x A73) >F2 79XAA03=(A502 x AA4102)
 7XAA90     | >F1 7XAA90=(A266 x EBL)
 7XAG91     | >F1 7XAG91=(FHAG x A546)
 7XAGA91    | >F1 7XAGA91=(FHAG x A546)
 7XBT       | >F1 7XBT=(CAG204 x ST11)
 7XGA91     | >F1 7XGA91=(BT044 x JAMIE)
 7XTG93     | >F1 7XTG93=(ST5 x AGMORIN)
 80XAA04    | >F1 23XAA91=(PCA2 x PRINCE) >F2 80XAA04=(AA2301 x AA4102)
 80XAA04    | >F1 41XAA91=(A10 x A73) >F2 80XAA04=(AA2301 x AA4102)
 81XAA04    | >F1 32XAA91=(A266 x PRINCE) >F2 81XAA04=(AA3201 x AA4102)
